date,prediction,confidence_interval
2025-03-31,339847.57425065886,"[319852.6824576487, 359842.46604366903]"
2025-04-30,340088.21272615297,"[305424.1091486003, 374752.3163037056]"
2025-05-31,340221.91542648233,"[289784.82758497854, 390659.0032679861]"
2025-06-30,340248.6823516469,"[272682.5543734119, 407814.81032988185]"
2025-07-31,340168.5135016467,"[254122.4082450897, 426214.6187582037]"
2025-08-31,339981.4088764817,"[234157.79023511414, 445805.02751784923]"
2025-09-30,339687.36847615195,"[212849.73036966257, 466525.00658264133]"
2025-10-31,339286.3923006574,"[190256.6521246501, 488316.13247666473]"
2025-11-30,338778.4803499981,"[166431.8644716809, 511125.0962283153]"
2025-12-31,338163.632624174,"[141423.3195801998, 534903.9456681482]"
2026-01-31,337441.84912318515,"[115274.04212677386, 559609.6561195964]"
2026-02-28,336613.1298470315,"[88022.7161854472, 585203.5435086158]"
2026-03-31,335677.4747957131,"[59704.25985259953, 611650.6897388266]"
2026-04-30,334634.8839692299,"[30350.33627864474, 638919.431659815]"
2026-05-31,333485.3573675819,"[-10.208193616941571, 666980.9229287808]"
2026-06-30,332228.89499076916,"[-31350.973698444606, 695808.7636799829]"
2026-07-31,330865.49683879165,"[-63647.69515531417, 725378.6888328975]"
2026-08-31,329395.1629116493,"[-96877.9797630788, 755668.3055863774]"
2026-09-30,327817.89320934226,"[-131021.08522880962, 786656.8716474941]"
2026-10-31,326133.6877318704,"[-166057.73159132292, 818325.1070550637]"
2026-11-30,324342.5464792338,"[-201969.94075842958, 850655.0337168971]"
2026-12-31,322444.46945143235,"[-238740.89896775864, 883629.8378706233]"
2027-01-31,320439.4566484662,"[-276354.8382846458, 917233.7515815782]"
2027-02-28,318327.5080703352,"[-314796.9339834726, 951451.9501241429]"
