date,prediction,confidence_interval
2025-03-31,142858.06451612903,"[88169.87186971997, 197546.2571625381]"
2025-04-30,143216.12903225806,"[65875.3452900338, 220556.91277448233]"
2025-05-31,143574.1935483871,"[48851.46531069194, 238296.92178608224]"
2025-06-30,143932.25806451612,"[34555.87277169799, 253308.64335733425]"
2025-07-31,144290.32258064515,"[22003.80625667036, 266576.8389046199]"
2025-08-31,144648.38709677418,"[10690.220158044744, 278606.55403550365]"
2025-09-30,145006.4516129032,"[315.09421891352395, 289697.8090068929]"
2025-10-31,145364.51612903224,"[-9317.051355416275, 300046.0836134808]"
2025-11-30,145722.58064516127,"[-18341.99729406592, 309787.15858438844]"
2025-12-31,146080.6451612903,"[-26858.60471943376, 319019.89504201437]"
2026-01-31,146438.70967741933,"[-34941.50579339286, 327818.92514823156]"
2026-02-28,146796.77419354836,"[-42648.68228184196, 336242.2306689387]"
2026-03-31,147154.8387096774,"[-50026.24403940319, 344335.92145875795]"
2026-04-30,147512.90322580643,"[-57111.57675894638, 352137.38321055926]"
2026-05-31,147870.96774193546,"[-63935.49161178977, 359677.4270956607]"
2026-06-30,148229.0322580645,"[-70523.73832757174, 366981.80284370075]"
2026-07-31,148587.09677419352,"[-76898.09798107806, 374072.2915294651]"
2026-08-31,148945.16129032255,"[-83077.18993635022, 380967.5125169953]"
2026-09-30,149303.22580645158,"[-89077.07934412968, 387683.5309570328]"
2026-10-31,149661.2903225806,"[-94911.74232536895, 394234.32297053013]"
2026-11-30,150019.35483870964,"[-100593.42758378721, 400632.1372612065]"
2026-12-31,150377.41935483867,"[-106132.94131013815, 406887.7800198155]"
2027-01-31,150735.4838709677,"[-111539.8743756797, 413010.8421176151]"
2027-02-28,151093.54838709673,"[-116822.78549036209, 419009.88226455555]"
