date,prediction,confidence_interval
2025-03-01,149814.3545525501,"[117152.99749278728, 182475.7116123129]"
2025-04-01,147036.47000816042,"[112559.20852372987, 181513.73149259097]"
2025-05-01,143447.36797799368,"[106564.71479644554, 180330.02115954182]"
2025-06-01,140385.7785020772,"[101806.9530251254, 178964.60397902902]"
2025-07-01,137587.93751074505,"[97654.12512922852, 177521.74989226158]"
2025-08-01,135064.4638092435,"[94060.46575874538, 176068.4618597416]"
2025-09-01,132782.8804692336,"[90924.49217519368, 174641.26876327355]"
2025-10-01,130720.94414708202,"[88177.4575392447, 173264.43075491933]"
2025-11-01,128857.35019201378,"[85762.31294399522, 171952.38744003233]"
2025-12-01,127173.04652190268,"[83632.66307366759, 170713.42997013777]"
2026-01-01,125650.77965515759,"[81749.96874762216, 169551.59056269302]"
2026-02-01,124274.96176669549,"[80081.9182539171, 168468.00527947387]"
2026-03-01,123031.5036705681,"[78601.17726741012, 167461.83007372607]"
2026-04-01,121907.67178874784,"[77284.45797470064, 166530.88560279505]"
2026-05-01,120891.95754221245,"[76111.80086483812, 165672.11421958677]"
2026-06-01,119973.95953325769,"[75066.01163820518, 164881.9074283102]"
2026-07-01,119144.27702419872,"[74132.21255082075, 164156.34149757668]"
2026-08-01,118394.41367034923,"[73297.48031595042, 163491.34702474804]"
2026-09-01,117716.69051322657,"[72550.55065495134, 162882.8303715018]"
2026-10-01,117104.16734438248,"[71881.57499356297, 162326.759695202]"
2026-11-01,116550.57163435286,"[71281.91850840997, 161819.22476029577]"
2026-12-01,116050.2342989643,"[70743.99134367728, 161356.4772542513]"
2027-01-01,115598.03164520758,"[70261.10670064279, 160934.95658977237]"
2027-02-01,115189.33290217693,"[69827.36088502064, 160551.30491933323]"
