date,prediction,confidence_interval
2025-03-31,237570.24322255538,"[202609.96313753445, 272530.5233075763]"
2025-04-30,240159.13291628205,"[200493.0660274885, 279825.1998050756]"
2025-05-31,239074.638896538,"[195919.77301230776, 282229.50478076824]"
2025-06-30,236133.3622677012,"[188173.0757388721, 284093.64879653027]"
2025-07-31,234939.83960284234,"[183378.33398402625, 286501.34522165847]"
2025-08-31,233464.24218031723,"[178771.20001751318, 288157.2843431213]"
2025-09-30,231755.609035999,"[174055.89631089967, 289455.3217610983]"
2025-10-31,230270.19648747292,"[169869.44039800376, 290670.9525769421]"
2025-11-30,228792.84588480776,"[165922.2174340901, 291663.4743355254]"
2025-12-31,227310.31532502093,"[162140.64954921088, 292479.98110083095]"
2026-01-31,225878.24024831323,"[158578.4376437385, 293178.042852888]"
2026-02-28,224474.0450922361,"[155192.38554901467, 293755.70463545754]"
2026-03-31,223093.6315988025,"[151959.44983812564, 294227.8133594793]"
2026-04-30,221743.18073139386,"[148874.80558618737, 294611.5558766003]"
2026-05-31,220419.96904374292,"[145924.66502607608, 294915.27306140977]"
2026-06-30,219122.81816832902,"[143097.9795076268, 295147.65682903124]"
2026-07-31,217851.98438146833,"[140386.9502877029, 295317.01847523375]"
2026-08-31,216606.7407786594,"[137783.64805618522, 295429.8335011336]"
2026-09-30,215386.47614666837,"[135281.05429401307, 295491.8979993237]"
2026-10-31,214190.7775549212,"[132873.11915042158, 295508.4359594208]"
2026-11-30,213019.13396870514,"[130554.28337939574, 295483.98455801455]"
2026-12-31,211871.04796229157,"[128319.50870406479, 295422.5872205184]"
2027-01-31,210746.05575308844,"[126164.23928389956, 295327.87222227734]"
2027-02-28,209643.6916084438,"[124084.2999864974, 295203.0832303902]"
