date,prediction,confidence_interval
2025-03-31,342653.9243795981,"[296912.9881396097, 388394.86061958654]"
2025-04-30,332419.6685926403,"[277667.48778299347, 387171.84940228716]"
2025-05-31,337153.83267894696,"[271682.1317391904, 402625.53361870354]"
2025-06-30,336635.66266571556,"[262767.2838546048, 410504.0414768263]"
2025-07-31,337932.26742120297,"[256135.2222249486, 419729.31261745736]"
2025-08-31,338573.70799936535,"[249547.79919130864, 427599.616807422]"
2025-09-30,339423.222608487,"[243591.8502170557, 435254.5949999183]"
2025-10-31,340179.11140070925,"[237919.543431919, 442438.6793694995]"
2025-11-30,340946.81780673796,"[232556.0869084053, 449337.5487050706]"
2025-12-31,341689.4895803492,"[227420.87022231004, 455958.1089383883]"
2026-01-31,342420.0065002324,"[222487.87512105555, 462352.13787940925]"
2026-02-28,343133.86711217277,"[217723.83183010062, 468543.9023942449]"
2026-03-31,343832.6446644797,"[213106.6181018973, 474558.6712270621]"
2026-04-30,344515.7893103426,"[208616.5479158304, 480415.03070485475]"
2026-05-31,345183.4932200077,"[204237.8898634252, 486129.0965765902]"
2026-06-30,345835.68923039833,"[199957.24142210587, 491714.1370386908]"
2026-07-31,346472.40081486147,"[195763.30603789308, 497181.4955918299]"
2026-08-31,347093.61976951413,"[191646.38271001322, 502540.8568290151]"
2026-09-30,347699.34896159533,"[187598.10008275864, 507800.597840432]"
2026-10-31,348289.5873890114,"[183611.1678463309, 512968.0069316919]"
2026-11-30,348864.33540199185,"[179679.1973882888, 518049.4734156949]"
2026-12-31,349423.59287813224,"[175796.55417831286, 523050.6315779516]"
2027-01-31,349967.35986021266,"[171958.24131037985, 527976.4784100455]"
2027-02-28,350495.6363332815,"[168159.8044854195, 532831.4681811435]"
