date,prediction,confidence_interval
2025-03-31,295248.7747566239,"[273611.9396975144, 316885.6098157334]"
2025-04-30,296844.5113624604,"[271847.3330475575, 321841.68967736326]"
2025-05-31,295976.2003591026,"[267446.34699948685, 324506.0537187183]"
2025-06-30,295288.28853639704,"[264386.70803817455, 326189.86903461954]"
2025-07-31,294675.3882840912,"[261850.6171360643, 327500.15943211806]"
2025-08-31,294095.1150600158,"[259569.8009338811, 328620.42918615055]"
2025-09-30,293530.41194075043,"[257441.47515039213, 329619.34873110877]"
2025-10-31,292974.40393999027,"[255421.2145171826, 330527.5933627979]"
2025-11-30,292424.3093832431,"[253487.0635742626, 331361.5551922236]"
2025-12-31,291878.9922552402,"[251626.38304995955, 332131.6014605209]"
2026-01-31,291337.9782328827,"[249830.75723937378, 332845.1992263916]"
2026-02-28,290801.05912560807,"[248093.92139858322, 333508.1968526329]"
2026-03-31,290268.1338578901,"[246410.86295315757, 334125.4047626226]"
2026-04-30,289739.1445426243,"[244777.39578675738, 334700.89329849125]"
2026-05-31,289214.0507814357,"[243189.9345382878, 335238.16702458356]"
2026-06-30,288692.81933236803,"[241645.35947320488, 335740.2791915312]"
2026-07-31,288175.4199553288,"[240140.92637965624, 336209.91353100137]"
2026-08-31,287661.8237410231,"[238674.2014539153, 336649.4460281308]"
2026-09-30,287152.0024382665,"[237243.01165186777, 337060.9932246653]"
2026-10-31,286645.9281826578,"[235845.40551736273, 337446.45084795286]"
2026-11-30,286143.5733866056,"[234479.621585902, 337807.5251873092]"
2026-12-31,285644.9106942271,"[233144.0625090361, 338145.7588794181]"
2027-01-31,285149.9129623322,"[231837.27362344725, 338462.55230121716]"
2027-02-28,284658.5532519003,"[230557.92504018528, 338759.1814636153]"
