date,prediction,confidence_interval
2025-03-31,91801.76757341687,"[34082.39617218216, 149521.13897465158]"
2025-04-30,74450.58287271399,"[16068.124156366837, 132833.04158906115]"
2025-05-31,78977.88452556712,"[16525.618660391046, 141430.1503907432]"
2025-06-30,81895.3847408349,"[17828.932297231513, 145961.83718443828]"
2025-07-31,83775.4908523248,"[19050.525156892443, 148500.45654775715]"
2025-08-31,84987.07567825334,"[19990.601993091783, 149983.5493634149]"
2025-09-30,85767.84958322035,"[20658.95628404012, 150876.74288240058]"
2025-10-31,86270.99874589678,"[21115.476625582167, 151426.5208662114]"
2025-11-30,86595.23996130048,"[21420.363542429543, 151770.1163801714]"
2025-12-31,86804.18866590974,"[21621.276447327647, 151987.1008844918]"
2026-01-31,86938.84015092692,"[21752.591101852762, 152125.08920000106]"
2026-02-28,87025.61275117462,"[21837.978027225, 152213.24747512423]"
2026-03-31,87081.5310661697,"[21893.320905279048, 152269.74122706035]"
2026-04-30,87117.56615032027,"[21929.11702241691, 152306.01527822364]"
2026-05-31,87140.78801045415,"[21952.23964415009, 152329.33637675823]"
2026-06-30,87155.75272611361,"[21967.163147949366, 152344.34230427787]"
2026-07-31,87165.39634266618,"[21976.789649972918, 152354.00303535943]"
2026-08-31,87171.61091715787,"[21982.997117113016, 152360.2247172027]"
2026-09-30,87175.6157358794,"[21986.9989842808, 152364.232487478]"
2026-10-31,87178.19653574168,"[21989.578558416477, 152366.81451306687]"
2026-11-30,87179.85966418574,"[21991.241177838558, 152368.47815053293]"
2026-12-31,87180.9314234732,"[21992.312725738455, 152369.55012120795]"
2027-01-31,87181.62209049556,"[21993.00330497539, 152370.2408760157]"
2027-02-28,87182.06717265285,"[21993.44835067699, 152370.6859946287]"
