date,prediction,confidence_interval
2025-03-31,263995.50191495987,"[191059.080505389, 336931.9233245307]"
2025-04-30,265328.5034358308,"[190541.30134797786, 340115.7055236838]"
2025-05-31,266928.9313160659,"[191644.2443346142, 342213.6182975176]"
2025-06-30,268576.2646735984,"[192890.3249383669, 344262.2044088299]"
2025-07-31,270238.5119846397,"[194136.53466443383, 346340.48930484557]"
2025-08-31,271911.0321576761,"[195362.28810753534, 348459.7762078169]"
2025-09-30,273593.1518977881,"[196563.7925741466, 350622.5112214296]"
2025-10-31,275284.7735283736,"[197739.790067814, 352829.75698893325]"
2025-11-30,276985.8828792402,"[198889.45870085814, 355082.30705762224]"
2025-12-31,278696.47789468215,"[200012.10089385332, 357380.85489551094]"
2026-01-31,280416.55827647296,"[201107.09743496825, 359726.0191179777]"
2026-02-28,282146.1239813482,"[202173.90079249136, 362118.347170205]"
2026-03-31,283885.1750030313,"[203212.03388669284, 364558.3161193698]"
2026-04-30,285633.7113406118,"[204221.0892957216, 367046.333385502]"
2026-05-31,287391.7329939575,"[205200.7281635153, 369582.7378243997]"
2026-06-30,289159.23996304936,"[206150.678722239, 372167.80120385974]"
2026-07-31,290936.2322478845,"[207070.7344424139, 374801.7300533551]"
2026-08-31,292722.7098484626,"[207960.75184284145, 377484.66785408376]"
2026-09-30,294518.67276478355,"[208820.64799834095, 380216.69753122615]"
2026-10-31,296324.12099684734,"[209650.3977863651, 382997.84420732956]"
2026-11-30,298139.05454465403,"[210450.030915253, 385828.0781740551]"
2026-12-31,299963.4734082036,"[211219.62877749454, 388707.3180389126]"
2027-01-31,301797.37758749595,"[211959.3211710133, 391635.4340039786]"
2027-02-28,303640.7670825312,"[212669.28293023608, 394612.2512348263]"
