date,prediction,confidence_interval
2025-03-31,181369.36752180633,"[140954.0165722324, 221784.71847138027]"
2025-04-30,184486.24913994188,"[135012.41569990723, 233960.08257997653]"
2025-05-31,181094.76936773438,"[119807.91867727246, 242381.6200581963]"
2025-06-30,180313.53234235407,"[109117.2237142583, 251509.84097044985]"
2025-07-31,177078.4819301854,"[94185.66846877, 259971.2953916008]"
2025-08-31,173893.3404608275,"[78592.57101930998, 269194.109902345]"
2025-09-30,169503.6968837178,"[60055.617692924614, 278951.776074511]"
2025-10-31,164580.4212711677,"[39331.33084114341, 289829.511701192]"
2025-11-30,158797.79293077352,"[15670.408091948892, 301925.17776959814]"
2025-12-31,152339.4694832739,"[-10859.786700817029, 315538.7256673648]"
2026-01-31,145128.4186375229,"[-40568.182799432456, 330825.02007447823]"
2026-02-28,137221.45657501696,"[-73538.03430107675, 347980.9474511107]"
2026-03-31,128606.77780537952,"[-109941.03440206849, 367154.59001282754]"
2026-04-30,119307.74252226975,"[-149881.96793907773, 388497.4529836172]"
2026-05-31,109329.67959589176,"[-193482.3492181394, 412141.7084099229]"
2026-06-30,98687.16287937571,"[-240841.19941653256, 438215.525175284]"
2026-07-31,87390.02684069132,"[-292057.82224908395, 466837.87593046663]"
2026-08-31,75450.53573307705,"[-347222.32075018284, 498123.3922163369]"
2026-09-30,62879.708085937265,"[-406422.0781269739, 532181.4942988484]"
2026-10-31,49689.20108060149,"[-469739.70767112914, 569118.1098323321]"
2026-11-30,35890.34447610946,"[-537255.0590976155, 609035.7480498345]"
2026-12-31,21494.635894525505,"[-609044.9332548566, 652034.2050439075]"
2027-01-31,6513.486898091574,"[-685183.7994112361, 698210.7732074193]"
2027-02-28,-9041.646829933463,"[-765743.877157683, 747660.583497816]"
