date,prediction,confidence_interval
2025-03-31,354398.46766257525,"[304028.8943773738, 404768.0409477767]"
2025-04-30,360556.95755460934,"[308924.5750652232, 412189.3400439955]"
2025-05-31,365433.90994800784,"[311822.1470419541, 419045.6728540616]"
2025-06-30,361197.4188335606,"[304504.12986888486, 417890.70779823634]"
2025-07-31,359519.2612135684,"[300432.5250843117, 418605.99734282505]"
2025-08-31,358414.14691489073,"[297136.5078917052, 419691.78593807627]"
2025-09-30,356853.7038230077,"[293459.5814423093, 420247.8262037061]"
2025-10-31,355365.68224872893,"[289992.2886335516, 420739.07586390624]"
2025-11-30,353948.93719424115,"[286714.6164261075, 421183.25796237483]"
2025-12-31,352533.6285570916,"[283538.0924290109, 421529.16468517226]"
2026-01-31,351137.54158478905,"[280474.04733590723, 421801.0358336709]"
2026-02-28,349764.8739830174,"[277519.11063837353, 422010.6373276613]"
2026-03-31,348411.77201860596,"[274662.1953055612, 422161.34873165074]"
2026-04-30,347078.26524423587,"[271897.40646866447, 422259.12401980726]"
2026-05-31,345764.4480972972,"[269219.58677186666, 422309.3094227278]"
2026-06-30,344469.8913443353,"[266623.5948265317, 422316.18786213885]"
2026-07-31,343194.2985198152,"[264104.93652895396, 422283.66051067645]"
2026-08-31,341937.4137663301,"[261659.58593331347, 422215.24159934674]"
2026-09-30,340698.95889513113,"[259283.85803043455, 422114.0597598277]"
2026-10-31,339478.66175435,"[256974.39085190414, 421982.93265679583]"
2026-11-30,338276.25712069497,"[254728.105409787, 421824.4088316029]"
2026-12-31,337091.48264105467,"[252542.16716021323, 421640.7981218961]"
2027-01-31,335924.0796844758,"[250413.95815746931, 421434.2012114823]"
2027-02-28,334773.7935788814,"[248341.05286816956, 421206.5342895933]"
