date,prediction,confidence_interval
2025-03-31,289425.55214101635,"[215555.95905949158, 363295.1452225411]"
2025-04-30,278695.8667069718,"[173135.03921004178, 384256.6942039018]"
2025-05-31,261023.25055019802,"[120323.29192513233, 401723.2091752637]"
2025-06-30,247672.0683231518,"[56721.717511790746, 438622.41913451283]"
2025-07-31,238043.4380083311,"[-7384.630324623693, 483471.5063412859]"
2025-08-31,223268.5319697646,"[-76501.16874630793, 523038.2326858371]"
2025-09-30,209515.6282527747,"[-151045.21650950535, 570076.4730150548]"
2025-10-31,197475.30051280593,"[-228428.75559647096, 623379.3566220829]"
2025-11-30,184230.08043117207,"[-309190.1065453439, 677650.267407688]"
2025-12-31,170504.1572444125,"[-393933.92899489996, 734942.2434837249]"
2026-01-31,157569.22578184074,"[-481628.57222918107, 796767.0237928625]"
2026-02-28,144409.91258088566,"[-572263.16954454, 861082.9947063114]"
2026-03-31,130887.66217014594,"[-666073.6157380872, 927848.940078379]"
2026-04-30,117556.54086210419,"[-762712.731813884, 997825.8135380923]"
2026-05-31,104243.49857238398,"[-862026.9518468687, 1070513.9489916367]"
2026-06-30,90743.74656972928,"[-964088.8258669915, 1145576.31900645]"
2026-07-31,77240.48245359118,"[-1068768.6955306318, 1223249.6604378142]"
2026-08-31,63751.56956859172,"[-1175941.9833041588, 1303445.122441342]"
2026-09-30,50177.54973020474,"[-1285596.7042605323, 1385951.8037209418]"
2026-10-31,36554.43559550761,"[-1397673.8169641932, 1470782.6881552082]"
2026-11-30,22915.98327722898,"[-1512089.2138363263, 1557921.180390784]"
2026-12-31,9228.581820387473,"[-1628803.9899928411, 1647261.153633616]"
2027-01-31,-4509.33806610737,"[-1747777.3368276788, 1738758.6606954641]"
2027-02-28,-18280.19876660546,"[-1868952.9501638266, 1832392.5526306157]"
